,Precio,Transmisión,Ciudad,Región,Anho,Puertas,Vehículo,Consumo de combustible (combinado),Color Exterior,Kilometraje,Combustible,Pasajeros,Litros (motor),Cilindros
0,$ 3.000.000,manual,Santiago,Metropolitana de Santiago,1996,2,1996 Volkswagen ESCARABAJO Catalitico, km/l,Verde musgo original,65.000 kms,Bencina,,,
1,$ 3.200.000,manual,Santiago,Metropolitana de Santiago,1996,0,1996 Volkswagen ESCARABAJO normal, km/l,Naranjo,60.000 kms,Bencina,,,
2,$ 2.400.000,manual,Romeral,Maule,1996,2,1996 Volkswagen ESCARABAJO Sedan, km/l,,25.000 kms,Bencina,,,
3,$ 5.000.000,manual,Santiago,Metropolitana de Santiago,1970,3,1970 Volkswagen ESCARABAJO 1.6 ALEMAN, km/l,GRIS OSCURO,82.000 kms,Bencina,,,
4,$ 3.380.000,automático,Santiago,Metropolitana de Santiago,1975,2,1975 Volkswagen ESCARABAJO 1303S AUT VIDRIO CURVO, km/l,ROJO BLANCO,,Bencina,,,
5,$ 4.000.000,manual,Santiago,Metropolitana de Santiago,1997,3,1997 Volkswagen ESCARABAJO 1600 cc, km/l,,140.000 kms,Bencina,,,
6,$ 9.000.000,manual,Santiago,Metropolitana de Santiago,1961,2,1961 Volkswagen ESCARABAJO Escarabajo, km/l,,140.000 kms,Bencina,,,
7,$ 2.500.000,manual,San Bernardo,Metropolitana de Santiago,1978,0,1978 Volkswagen Escarabajo mecanico, km/l,beige,100.000 kms,Bencina,,,
8,$ 2.800.000,manual,Curacautín,Araucanía,1962,2,1962 Volkswagen ESCARABAJO Gl, km/l,,63.000 kms,Bencina,,,
9,$ 1.850.000,manual,Puerto Montt,Los Lagos,1982,2,1982 Volkswagen ESCARABAJO 1.3, km/l,,150.000 kms,Bencina,,,
10,$ 2.800.000,manual,Viña del Mar,Valparaíso,1997,0,1997 Volkswagen ESCARABAJO Catalitico, km/l,Verde Oscuro,,Bencina,,,
11,$ 2.200.000,manual,Melipilla,Metropolitana de Santiago,1996,2,1996 Volkswagen ESCARABAJO 1.600, km/l,Rojo perlado,,Bencina,,,
12,$ 4.650.000,manual,Santiago,Metropolitana de Santiago,1960,2,1960 Volkswagen ESCARABAJO FUNCIONANDO, km/l,,,Bencina,,,
13,$ 2.750.000,manual,Viña del Mar,Valparaíso,1997,2,1997 Volkswagen ESCARABAJO 1.6, km/l,gris plata,,Bencina,,,
14,$ 850.000,manual,Los Angeles,Bío Bío,1981,2,1981 Volkswagen ESCARABAJO 1300, km/l,amarillo,1 kms,Bencina,,,
15,$ 1.300.000,manual,Los Angeles,Bío Bío,1977,2,1977 Volkswagen ESCARABAJO 1300, km/l,beage,45 kms,Bencina,,,
16,$ 4.000.000,manual,Temuco,Araucanía,1970,2,1970 Volkswagen ESCARABAJO Alemana, km/l,Rojo,,Bencina,,,
17,$ 2.000.000,manual,Valparaiso,Valparaíso,1977,2,1977 Volkswagen ESCARABAJO Clásico o de colección, km/l,Azul,,Bencina,,,
18,$ 2.400.000,manual,Viña del Mar,Valparaíso,1997,2,1997 Volkswagen ESCARABAJO MEXICANO, km/l,VERDE,110.000 kms,Bencina,,,
19,$ 1.450.000,manual,San Carlos,Bío Bío,1981,2,1981 Volkswagen escarabaj0 mecanica, km/l,negro,130.000 kms,Bencina,,,
20,$ 1.700.000,manual,Chicureo,Metropolitana de Santiago,1998,2,1998 Volkswagen ESCARABAJO 1.6 I,0 km/l,Blanco,100.000 kms,Bencina,5,1.6,4
21,$ 6.000.000,manual,Santiago,Metropolitana de Santiago,1962,0,1962 Volkswagen ESCARABAJO wolfsburg edition, km/l,turquesa,,Bencina,,,
22,$ 9.500.000,manual,Curacaví,Metropolitana de Santiago,1960,0,1960 Volkswagen ESCARABAJO aleman, km/l,,,Bencina,,,
23,$ 2.800.000,manual,Curacautín,Araucanía,1962,2,1962 Volkswagen ESCARABAJO Gl, km/l,,63.000 kms,Bencina,,,
24,$ 2.200.000,manual,La Calera,Valparaíso,1981,2,1981 Volkswagen ESCARABAJO Original, km/l,,,Bencina,,,
25,$ 240.000,manual,Chillán,Bío Bío,1981,2,1981 Volkswagen ESCARABAJO Escarabajo, km/l,Rojo,123.456 kms,Bencina,,,
26,$ 2.735.000,manual,Santiago,Metropolitana de Santiago,1998,3,1998 Volkswagen ESCARABAJO FUSCA, km/l,NARANJO COBRE,75.000 kms,Bencina,,,
27,$ 2.200.000,manual,Buin,Metropolitana de Santiago,1981,2,1981 Volkswagen ESCARABAJO 1.3, km/l,Verdd,22.000 kms,Bencina,,,
28,$ 4.500.000,manual,Chicureo,Metropolitana de Santiago,1994,2,1994 Volkswagen ESCARABAJO Gl, km/l,Azul celeste,1.000 kms,Bencina,,,
29,$ 3.500.000,manual,Rancagua,OHiggins,1997,2,1997 Volkswagen ESCARABAJO 1.6, km/l,Blanco,,Bencina,,,
30,$ 2.100.000,manual,Viña del Mar,Valparaíso,1998,2,1998 Volkswagen ESCARABAJO 1.6 I,0 km/l,,80.000 kms,Bencina,5,1.6,4
31,$ 1.450.000,manual,San Carlos,Bío Bío,1981,2,1981 Volkswagen escarabaj0 mecanica, km/l,negro,130.000 kms,Bencina,,,
32,$ 4.000.000,manual,Santiago,Metropolitana de Santiago,1971,2,1971 Volkswagen ESCARABAJO 1302, km/l,Naranjo,78.000 kms,Bencina,,,
33,$ 2.100.000,manual,Santiago,Metropolitana de Santiago,1997,2,1997 Volkswagen ESCARABAJO Mexicano 97, km/l,Blanco,80.000 kms,Bencina,,,
34,$ 11.000.000,manual,Santiago,Metropolitana de Santiago,1962,2,1962 Volkswagen ESCARABAJO MECANICA, km/l,VERDE BEIGE,150.000 kms,Bencina,,,
35,$ 2.450.000,manual,Los Angeles,Bío Bío,1998,2,1998 Volkswagen ESCARABAJO 1.6 I,0 km/l,verde musgo,88.000 kms,Bencina,5,1.6,4
36,$ 3.800.000,manual,La Serena,Coquimbo,1997,2,1997 Volkswagen ESCARABAJO 1.6 DESCAPOTABLE , km/l,VERDE,91.576 kms,Bencina,,,
